46.229.168.154 - - [03/Nov/2019:01:24:32 -0700] "GET /blog/my-head-on-a-plate HTTP/1.1" 301 3835 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)" 
103.131.71.37 - - [03/Nov/2019:01:05:11 -0800] "GET /robots.txt HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
159.203.188.81 - - [03/Nov/2019:04:31:46 -0800] "HEAD / HTTP/1.1" 301 3311 "https://readwriterespond.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36" 
159.203.188.81 - - [03/Nov/2019:04:33:09 -0800] "HEAD / HTTP/1.1" 301 3311 "https://readwriterespond.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36" 
114.198.57.16 - - [03/Nov/2019:04:34:00 -0800] "GET / HTTP/1.1" 301 3826 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0" 
54.36.149.102 - - [03/Nov/2019:04:50:51 -0800] "GET /robots.txt HTTP/1.1" 301 3600 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
109.102.111.32 - - [03/Nov/2019:05:12:30 -0800] "GET / HTTP/1.1" 301 3921 "https://aaronparecki.com/2018/03/12/17/building-an-indieweb-reader" "Mozilla/5.0 (Windows NT 6.2; WOW64; Trident/7.0; rv:11.0) like Gecko" 
109.102.111.32 - - [03/Nov/2019:05:12:31 -0800] "GET / HTTP/1.1" 301 602 "https://aaronparecki.com/2018/03/12/17/building-an-indieweb-reader" "Mozilla/5.0 (Windows NT 6.2; WOW64; Trident/7.0; rv:11.0) like Gecko" 
128.106.76.205 - - [03/Nov/2019:06:26:31 -0800] "GET / HTTP/1.1" 301 3826 "-" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3" 
207.46.13.142 - - [03/Nov/2019:08:29:24 -0800] "GET /robots.txt HTTP/1.1" 301 2076 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
207.46.13.142 - - [03/Nov/2019:08:29:25 -0800] "GET /robots.txt HTTP/1.1" 301 3846 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
207.46.13.142 - - [03/Nov/2019:08:42:13 -0800] "GET /robots.txt HTTP/1.1" 301 2076 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
207.46.13.142 - - [03/Nov/2019:08:42:13 -0800] "GET /robots.txt HTTP/1.1" 301 3846 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
103.131.71.44 - - [03/Nov/2019:11:36:57 -0800] "GET /robots.txt HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
93.234.30.44 - - [03/Nov/2019:12:35:34 -0800] "GET /robots.txt HTTP/1.1" 301 1860 "-" "yacybot (/global; amd64 Windows 10 10.0; java 10.0.2; Europe/de) http://yacy.net/bot.html" 
93.234.30.44 - - [03/Nov/2019:12:58:52 -0800] "GET / HTTP/1.1" 301 1840 "https://indieweb.org/2017/Nuremberg/Guest_List" "yacybot (/global; amd64 Windows 10 10.0; java 10.0.2; Europe/de) http://yacy.net/bot.html" 
157.245.116.181 - - [03/Nov/2019:14:22:56 -0800] "GET / HTTP/1.0" 301 3789 "-" "Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0; +info@netcraft.com)" 
46.229.168.149 - - [03/Nov/2019:18:06:20 -0800] "GET /robots.txt HTTP/1.1" 301 3809 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)" 
46.229.168.144 - - [03/Nov/2019:18:06:21 -0800] "GET /blog/more-on-that-pizza HTTP/1.1" 301 3835 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)" 
207.46.13.16 - - [03/Nov/2019:18:47:37 -0800] "GET / HTTP/1.1" 301 3826 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
66.249.66.196 - - [03/Nov/2019:18:51:28 -0800] "GET / HTTP/1.1" 301 3826 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
37.9.87.160 - - [03/Nov/2019:19:12:23 -0800] "GET /robots.txt HTTP/1.1" 301 3851 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
93.158.161.93 - - [03/Nov/2019:19:12:28 -0800] "GET / HTTP/1.1" 301 3831 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
216.244.66.237 - - [03/Nov/2019:21:57:59 -0800] "GET /wp/Archive/2013/03/25/remembering-software/ HTTP/1.1" 301 3666 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" 
216.244.66.237 - - [03/Nov/2019:22:47:02 -0800] "GET /wp/Archive/2007/02/05/methinks-he-doth/feed/ HTTP/1.1" 301 3668 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" 
82.196.0.116 - - [03/Nov/2019:23:39:30 -0800] "GET / HTTP/1.1" 301 3580 "-" "Huffduffer" 
38.99.62.94 - - [03/Nov/2019:23:56:11 -0800] "GET / HTTP/1.1" 301 3770 "-" "Mozilla/5.0 (compatible; evc-batch/2.0)" 
